"selection1_name","selection1_selection2_name","selection1_selection2_year","selection1_selection2_selection3_name","selection1_selection2_selection3_Date","selection1_selection2_selection3_Event","selection1_selection2_selection3_Time","selection1_selection2_selection3_Place"
"Boston College","Beston, Zach","JR-3","NCAA Division I Northeast Region Cross Country Championships","Nov 9, 2018","10K","36:59.8","191st"
"Boston College","Beston, Zach","JR-3","ACC Championships","Oct 26, 2018","8K","26:32.8","119th"
"Boston College","Beston, Zach","JR-3","NEICAAA Cross Country Championship","Oct 6, 2018","8K","26:03.2","49th"
"Boston College","Beston, Zach","JR-3","Coast-to-Coast Battle in Beantown","Sep 21, 2018","8K","26:59.6","191st"
"Boston College","Beston, Zach","JR-3","Shawn M. Nassaney Memorial Invitational","Sep 8, 2018","4.97M","26:13.2","29th"
"Boston College","Beston, Zach","JR-3","ACC Indoor Track & Field Championships","Feb 22-24, 2018","5000","DNF",""
"Boston College","Beston, Zach","JR-3","Boston University David Hemery Valentine Invitational","Feb 9-10, 2018","Mile","4:17.97","123rd (F)"
"Boston College","Beston, Zach","JR-3","NEICAAA Indoor Track & Field Championships","Feb 2-3, 2018","3000","8:39.73","12th (F)"
"Boston College","Beston, Zach","JR-3","Boston University John Thomas Terrier Classic","Jan 26-27, 2018","Mile","4:21.34","70th (F)"
"Boston College","Beston, Zach","JR-3","Boston University Multi Team Meet","Jan 18, 2018","3000","8:46.64","3rd (F)"
"Boston College","Beston, Zach","JR-3","2018 Dartmouth Relays - College & Open","Jan 7, 2018","3000","8:55.98","11th (F)"
"Boston College","Beston, Zach","JR-3","NCAA Division I Northeast Region Cross Country Championships","Nov 10, 2017","10K","36:50.6","226th"
"Boston College","Beston, Zach","JR-3","adidas DI Pre Nationals","Oct 14, 2017","8K","DNF","216th"
"Boston College","Beston, Zach","JR-3","Chile Pepper XC Festival","Sep 29-30, 2017","10K","32:37.1","52nd"
"Boston College","Beston, Zach","JR-3","Coast-To-Coast Battle in Beantown","Sep 22, 2017","5K","16:18.2","17th"
"Boston College","Beston, Zach","JR-3","2017 Ocean State Invitational","Apr 15, 2017","3000","DNF",""
"Boston College","Beston, Zach","JR-3","Boston University Opener","Dec 5, 2015","3000","9:15.76","20th (F)"
"Boston College","Burke, Sean","SR-4","NCAA Division I Northeast Region Cross Country Championships","Nov 9, 2018","10K","34:18.9","52nd"
"Boston College","Burke, Sean","SR-4","ACC Championships","Oct 26, 2018","8K","23:53.2","5th"
"Boston College","Burke, Sean","SR-4","NEICAAA Cross Country Championship","Oct 6, 2018","8K","24:34.8","2nd"
"Boston College","Burke, Sean","SR-4","Coast-to-Coast Battle in Beantown","Sep 21, 2018","8K","24:53.2","34th"
"Boston College","Burke, Sean","SR-4","Shawn M. Nassaney Memorial Invitational","Sep 8, 2018","4.97M","24:48.0","1st"
"Boston College","Burke, Sean","SR-4","NCAA East Preliminary Round","May 24-26, 2018","5000","14:39.28","35th (P)"
"Boston College","Burke, Sean","SR-4","ACC Outdoor Championships","May 10-12, 2018","5000","14:25.49","12th (F)"
"Boston College","Burke, Sean","SR-4","Penn Relays","Apr 26-28, 2018","DMR","9:59.93","(F)"
"Boston College","Burke, Sean","SR-4","Virginia Challenge","Apr 20-21, 2018","10,000","30:32.78","17th (F)"
"Boston College","Burke, Sean","SR-4","Miami Hurricane Alumni Invitational","Apr 6-7, 2018","1500","3:55.35","1st (F)"
"Boston College","Burke, Sean","SR-4","NCAA Division I Northeast Region Cross Country Championships","Nov 10, 2017","10K","34:33.1","125th"
"Boston College","Burke, Sean","SR-4","ACC Cross Country Championships","Oct 27, 2017","8K","23:59.6","17th"
"Boston College","Burke, Sean","SR-4","adidas DI Pre Nationals","Oct 14, 2017","8K","24:31.5","11th"
"Boston College","Burke, Sean","SR-4","Chile Pepper XC Festival","Sep 29-30, 2017","10K","30:19.1","4th"
"Boston College","Burke, Sean","SR-4","Coast-To-Coast Battle in Beantown","Sep 22, 2017","8K","25:42.3","74th"
"Boston College","Burke, Sean","SR-4","NCAA Division I East Preliminary Round","May 25-27, 2017","10,000","30:57.04","31st (P)"
"Boston College","Burke, Sean","SR-4","ACC Outdoor Track & Field Championships","May 12-14, 2017","5000","14:19.68","10th (F)"
"Boston College","Burke, Sean","SR-4","Penn Relays","Apr 27-29, 2017","5000","14:20.90","(F)"
"Boston College","Burke, Sean","SR-4","Georgia Tech Invitational","Apr 21-22, 2017","1500","3:53.86","12th (F)"
"Boston College","Burke, Sean","SR-4","Stanford Invitational","Mar 31 - Apr 1, 2017","10,000","29:37.01","20th (F)"
"Boston College","Burke, Sean","SR-4","Raleigh Relays","Mar 24-25, 2017","5000","14:30.78","44th (F)"
"Boston College","Burke, Sean","SR-4","NCAA Division I Cross Country Championships","Nov 19, 2016","10K","30:52.9","102nd"
"Boston College","Burke, Sean","SR-4","NCAA Division I Northeast Region Cross Country Championships","Nov 11, 2016","10K","30:45.8","8th"
"Boston College","Burke, Sean","SR-4","ACC Championships","Oct 28, 2016","8K","23:27.6","10th"
"Boston College","Burke, Sean","SR-4","NEICAAA XC Championship","Oct 8, 2016","8K","25:00.0","8th"
"Boston College","Burke, Sean","SR-4","Chile Pepper Cross Country Festival","Oct 1, 2016","4.97M","23:55.3","9th"
"Boston College","Burke, Sean","SR-4","Coast-to-Coast Battle in Beantown","Sep 16, 2016","8K","25:01.4","20th"
"Boston College","Burke, Sean","SR-4","ACC Championships","Feb 25-27, 2016","3000","8:29.31","34th (F)"
"Boston College","Burke, Sean","SR-4","David Hemery Valentine Invitational","Feb 12-13, 2016","5000","14:43.68","17th (F)"
"Boston College","Burke, Sean","SR-4","John Thomas Terrier Invitational","Jan 29-30, 2016","3000","8:34.70","72nd (F)"
"Boston College","Burke, Sean","SR-4","NCAA Division I Northeast Region Cross Country Championships","Nov 13, 2015","10K","32:18.8","86th"
"Boston College","Burke, Sean","SR-4","ACC Cross Country Championships","Oct 30, 2015","8K","25:02.9","56th"
"Boston College","Durney, Aidan","JR-3","Coast-to-Coast Battle in Beantown","Sep 16, 2016","5K","16:56.5","48th"
"Boston College","Durney, Aidan","JR-3","UMass Minuteman XC Invitational","Sep 10, 2016","6K","20:53.8","58th"
"Boston College","Durney, Aidan","JR-3","David Hemery Valentine Invitational","Feb 12-13, 2016","800","2:12.41","233rd (F)"
"Boston College","Durney, Aidan","JR-3","BU Scarlet and White","Feb 6, 2016","800","2:10.69","54th (F)"
"Boston College","Durney, Aidan","JR-3","John Thomas Terrier Invitational","Jan 29-30, 2016","1000","2:51.03","65th (F)"
"Boston College","Faddis, Kyle","SO-2","ACC Championships","Oct 26, 2018","8K","26:26.7","117th"
"Boston College","Faddis, Kyle","SO-2","Coast-to-Coast Battle in Beantown","Sep 21, 2018","8K","26:09.2","142nd"
"Boston College","Faddis, Kyle","SO-2","Shawn M. Nassaney Memorial Invitational","Sep 8, 2018","4.97M","25:59.3","18th"
"Boston College","Faddis, Kyle","SO-2","Miami Hurricane Alumni Invitational","Apr 6-7, 2018","3000S","9:41.16","3rd (F)"
"Boston College","Faddis, Kyle","SO-2","UNF Spring Break Invitational","Mar 23, 2018","1500","4:00.74","13th (F)"
"Boston College","Faddis, Kyle","SO-2","NCAA Division I Northeast Region Cross Country Championships","Nov 10, 2017","10K","35:22.7","178th"
"Boston College","Faddis, Kyle","SO-2","ACC Cross Country Championships","Oct 27, 2017","8K","26:30.9","117th"
"Boston College","Faddis, Kyle","SO-2","adidas DI Pre Nationals","Oct 14, 2017","8K","26:33.2","152nd"
