"selection1_name","selection1_selection2_name","selection1_selection2_year","selection1_selection2_selection3_name","selection1_selection2_selection3_Date","selection1_selection2_selection3_Event","selection1_selection2_selection3_Time","selection1_selection2_selection3_Place"
"Boston College","Barry, Caroline","FR-1","16th Annual CCSU Mini Meet","Oct 19, 2018","3K","10:39.2","14th"
"Boston College","Barry, Caroline","FR-1","Penn State Nationals Open","Oct 12, 2018","6K","22:44.7","210th"
"Boston College","Barry, Caroline","FR-1","NEICAAA Cross Country Championship","Oct 06, 2018","5K","18:51.1","2nd"
"Boston College","Barry, Caroline","FR-1","Coast-to-Coast Battle in Beantown","Sep 21, 2018","5K","18:55.1","89th"
"Boston College","Barry, Caroline","FR-1","Shawn M. Nassaney Memorial Invitational","Sep 08, 2018","3.11M","18:38.5","4th"
"Boston College","Bender, Gianna","SR-4","16th Annual CCSU Mini Meet","Oct 19, 2018","3K","10:58.2","7th"
"Boston College","Bender, Gianna","SR-4","Coast-to-Coast Battle in Beantown","Sep 21, 2018","5K","20:13.4","131st"
"Boston College","Bender, Gianna","SR-4","ACC Outdoor Championships","May 10-12, 2018","800","2:13.88","21st (P)"
"Boston College","Bender, Gianna","SR-4","Stonehill Skyhawk Invite","Apr 28, 2018","800","2:12.25","5th (F)"
"Boston College","Bender, Gianna","SR-4","2018 Larry Ellis Invitational","Apr 20-21, 2018","800","2:14.71","36th (F)"
"Boston College","Bender, Gianna","SR-4","Ocean State Invitational","Apr 13-14, 2018","800","2:13.63","4th (F)"
"Boston College","Bender, Gianna","SR-4","2018 Colonial Relays","Apr 5-7, 2018","4x800","9:06.02","2nd (F)"
"Boston College","Bender, Gianna","SR-4","Raleigh Relays","Mar 30-31, 2018","1600SMR","4:05.40","5th (F)"
"Boston College","Bender, Gianna","SR-4","2018 ECAC-IC4A Indoor Championships","Mar 2, 2018","4x800","9:06.35","10th (P)"
"Boston College","Bender, Gianna","SR-4","ACC Indoor Track & Field Championships","Feb 22-24, 2018","800","2:14.28","21st (P)"
"Boston College","Bender, Gianna","SR-4","Boston University David Hemery Valentine Invitational","Feb 9-10, 2018","4x400","3:56.14","18th (F)"
"Boston College","Bender, Gianna","SR-4","NEICAAA Indoor Track & Field Championships","Feb 2-3, 2018","4x800","9:09.55","3rd (F)"
"Boston College","Bender, Gianna","SR-4","Boston University John Thomas Terrier Classic","Jan 26-27, 2018","1000","2:54.90","10th (F)"
"Boston College","Bender, Gianna","SR-4","Boston University Multi Team Meet","Jan 18, 2018","4x400","4:07.86","3rd (F)"
"Boston College","Bender, Gianna","SR-4","Beantown Challenge","Jan 13, 2018","1000","2:57.84","7th (F)"
"Boston College","Bender, Gianna","SR-4","Boston University Season Opener","Dec 2, 2017","4x400","4:03.21","8th (F)"
"Boston College","Bender, Gianna","SR-4","15th Annual CCSU Mini Meet","Oct 20, 2017","3K","11:32.9","29th"
"Boston College","Bender, Gianna","SR-4","Coast-To-Coast Battle in Beantown","Sep 22, 2017","5K","21:09.1","150th"
"Boston College","Bender, Gianna","SR-4","ACC Outdoor Track & Field Championships","May 12-14, 2017","800","2:17.83","26th (P)"
"Boston College","Bender, Gianna","SR-4","Stonehill Skyhawk Invite","Apr 29, 2017","4x800","9:46.71","1st (F)"
