"selection1_name","selection1_selection2_name","selection1_selection2_year","selection1_selection2_selection3_name","selection1_selection2_selection3_Date","selection1_selection2_selection3_Event","selection1_selection2_selection3_Time","selection1_selection2_selection3_Place"
"Illinois","Dale, Zach","JR-3","NCAA Division I Midwest Region Cross Country Championships","Nov 9, 2018","10K","32:31.2","75th"
"Illinois","Dale, Zach","JR-3","Big Ten Championships","Oct 28, 2018","8K","25:02.5","57th"
"Illinois","Dale, Zach","JR-3","Bradley Pink Classic","Oct 12, 2018","8K","25:27.1","49th"
"Illinois","Dale, Zach","JR-3","Nuttycombe Wisconsin Invitational Presented By Under Armour","Sep 28, 2018","8K","24:56.2","162nd"
"Illinois","Dale, Zach","JR-3","Vanderbilt Commodore Classic","Sep 15, 2018","8K","26:25.8","46th"
"Illinois","Dale, Zach","JR-3","EIU's Walt Crawford Open","Aug 31, 2018","8K","26:17.2","7th"
"Illinois","Dale, Zach","JR-3","Bryan Clay Invitational","Apr 19-20, 2018","5000","15:36.21","34th (F)"
"Illinois","Dale, Zach","JR-3","Illinois Twilight","Apr 14, 2018","1500","3:59.28","7th (F)"
"Illinois","Dale, Zach","JR-3","2018 Jim Click Shootout","Apr 7, 2018","3000","8:41.82","2nd (F)"
"Illinois","Dale, Zach","JR-3","SIU Bill Cornell Spring Classic","Mar 23-24, 2018","5000","DNF","9th (F)"
"Illinois","Dale, Zach","JR-3","Big Ten Indoor Track and Field Championships","Feb 23-24, 2018","3000","8:23.47","18th (F)"
"Illinois","Dale, Zach","JR-3","Illinois Orange & Blue Open","Feb 17, 2018","3000","DNF","3rd (F)"
"Illinois","Dale, Zach","JR-3","Iowa State Classic","Feb 9-10, 2018","5000","14:28.26","36th (F)"
"Illinois","Dale, Zach","JR-3","2018 Rod McCravy Memorial Track & Field Meet","Feb 3, 2018","3000","8:18.31","2nd (F)"
"Illinois","Dale, Zach","JR-3","2018 Mark Colligan Memorial","Jan 20, 2018","3000","8:23.87","2nd (F)"
"Illinois","Dale, Zach","JR-3","Illinois Open","Jan 13, 2018","Mile","4:17.04","4th (F)"
"Illinois","Dale, Zach","JR-3","NCAA Division I Midwest Region Cross Country Championships","Nov 10, 2017","10K","30:23.1","66th"
"Illinois","Dale, Zach","JR-3","Big Ten Cross Country Championships","Oct 29, 2017","8K","25:16.6","50th"
"Illinois","Dale, Zach","JR-3","Nuttycombe Wisconsin Invitational Presented By Under Armour","Oct 13, 2017","8K","25:22.3","34th"
"Illinois","Dale, Zach","JR-3","Louisville Classic","Sep 30, 2017","8K","24:47.5","65th"
"Illinois","Dale, Zach","JR-3","Coast-To-Coast Battle in Beantown","Sep 22, 2017","8K","25:03.3","31st"
"Illinois","Dale, Zach","JR-3","Big Ten Outdoor Championships","May 12-14, 2017","10,000","30:44.89","15th (F)"
"Illinois","Dale, Zach","JR-3","2017 Drake Relays presented by Hy-Vee","Apr 26-29, 2017","5000","14:23.60","13th (F)"
"Illinois","Dale, Zach","JR-3","Bryan Clay Invite","Apr 13-14, 2017","5000","14:25.02","13th (F)"
"Illinois","Dale, Zach","JR-3","Illinois State Redbird Invitational","Apr 8, 2017","1500","3:57.06","11th (F)"
"Illinois","Dale, Zach","JR-3","EIU Big Blue Classic 2017","Mar 31 - Apr 1, 2017","5000","14:37.52","6th (F)"
"Illinois","Dale, Zach","JR-3","Illinois Orange & Blue Open","Feb 18, 2017","Mile","4:18.49","6th (F)"
"Illinois","Dale, Zach","JR-3","42nd Annual Frank Sevigne Husker Invitational","Feb 3-4, 2017","3000","8:54.29","29th (F)"
