"team_name","team_selection2_name","team_selection2_year","team_selection2_selection3_name","team_selection2_selection3_Date","team_selection2_selection3_Event","team_selection2_selection3_Time","team_selection2_selection3_Place"
"Illinois","Appino, Delaney","SO-2","2018 Drake Relays presented by Hy-Vee","Apr 25-28, 2018","4x1600","20:14.68","6th (F)"
"Illinois","Appino, Delaney","SO-2","Drake Relays presented by Hy-Vee","Apr 25-28, 2018","4x1600","20:14.68","6th (F)"
"Illinois","Appino, Delaney","SO-2","Illinois Twilight","Apr 14, 2018","1500","4:46.96","11th (F)"
"Illinois","Appino, Delaney","SO-2","2018 Jim Click Shootout","Apr 7, 2018","3000","10:51.76","5th (F)"
"Illinois","Appino, Delaney","SO-2","Ole Miss Classic","Mar 31, 2018","800","2:19.10","13th (F)"
"Illinois","Appino, Delaney","SO-2","SIU Bill Cornell Spring Classic","Mar 23-24, 2018","4x400","4:15.47","6th (F)"
"Illinois","Appino, Delaney","SO-2","Coast-To-Coast Battle in Beantown","Sep 22, 2017","5K","19:16.3","136th"
"Illinois","Austin, Alana","FR-1","2018 Illini Open","Oct 19, 2018","5K","19:49.5","39th"
"Illinois","Bruce, Madeline","FR-1","2018 Illini Open","Oct 19, 2018","5K","21:19.1","63rd"
"Illinois","Bruce, Madeline","FR-1","2018 Kip Janvrin Open","Apr 26-27, 2018","800","2:24.67","13th (F)"
"Illinois","Bruce, Madeline","FR-1","Illinois Twilight","Apr 14, 2018","800","2:22.31","14th (F)"
"Illinois","Bruce, Madeline","FR-1","Ole Miss Classic","Mar 31, 2018","400","1:01.43","19th (F)"
"Illinois","Bruce, Madeline","FR-1","SIU Bill Cornell Spring Classic","Mar 23-24, 2018","4x400","4:15.47","6th (F)"
"Illinois","Bruce, Madeline","FR-1","Illinois Orange & Blue Open","Feb 17, 2018","600","1:42.14","3rd (F)"
"Illinois","Bruce, Madeline","FR-1","2018 Rod McCravy Memorial Track & Field Meet","Feb 3, 2018","800","2:19.92","14th (F)"
"Illinois","Bruce, Madeline","FR-1","Illini Classic","Jan 27, 2018","600","1:40.74","4th (F)"
"Illinois","Bruce, Madeline","FR-1","Illinois Open","Jan 13, 2018","600","1:44.25","11th (F)"
