"selection1_name","selection1_selection2_name","selection1_selection2_year","selection1_selection2_selection3_name","selection1_selection2_selection3_Date","selection1_selection2_selection3_Event","selection1_selection2_selection3_Time","selection1_selection2_selection3_Place"
"Arizona","Davila, Hunter","JR-3","Pac-12 Cross Country Championships","Oct 26, 2018","8K","DNF",""
"Arizona","Davila, Hunter","JR-3","Wisconsin Pre Nationals","Oct 13, 2018","8K","24:53.5","75th"
"Arizona","Davila, Hunter","JR-3","Loyola Lakefront Collegiate Invitational","Sep 29, 2018","8K","24:39.5","15th"
"Arizona","Davila, Hunter","JR-3","2018 Dave Murray Invitational","Sep 14, 2018","6K","19:19.8","2nd"
"Arizona","Davila, Hunter","JR-3","2018 Desert Heat Classic","Apr 28, 2018","3000","8:31.48","1st (F)"
"Arizona","Davila, Hunter","JR-3","Mt. SAC Relays","Apr 19-21, 2018","5000","14:35.88","17th (F)"
"Arizona","Davila, Hunter","JR-3","2018 Jim Click Shootout","Apr 7, 2018","1500","3:55.72","6th (F)"
"Arizona","Davila, Hunter","JR-3","2018 Willie Williams Classic - College/Open","Mar 16-17, 2018","5000","14:54.06","1st (F)"
"Arizona","Davila, Hunter","JR-3","MPSF Indoor Track & Field Championships","Feb 23-24, 2018","5000","14:35.35","22nd (F)"
"Arizona","Davila, Hunter","JR-3","2018 Husky Classic","Feb 9-10, 2018","5000","14:39.09","60th (F)"
"Arizona","Davila, Hunter","JR-3","2018 UW Invitational","Jan 26-27, 2018","5000","14:50.01","24th (F)"
"Arizona","Davila, Hunter","JR-3","Larry Wieczorek Invitational","Jan 19-20, 2018","3000","8:34.93","8th (F)"
"Arizona","Davila, Hunter","JR-3","NCAA Division I West Region Cross Country Championships","Nov 10, 2017","10K","DNF","206th"
"Arizona","Davila, Hunter","JR-3","Pac-12 Championships","Oct 27, 2017","8K","24:26.9","28th"
"Arizona","Davila, Hunter","JR-3","adidas DI Pre Nationals","Oct 14, 2017","8K","23:59.1","48th"
"Arizona","Davila, Hunter","JR-3","Paul Short Gold","Sep 29, 2017","8K","24:28.8","59th"
"Arizona","Davila, Hunter","JR-3","Dave Murray Invitational","Sep 15, 2017","6K","19:24.7","1st"
"Arizona","Davila, Hunter","JR-3","Pac-12 Championships","May 13-14, 2017","5000","14:39.22","18th (F)"
"Arizona","Davila, Hunter","JR-3","Duel In The Desert- ASU vs Arizona","Apr 28-29, 2017","3000","DNF","2nd (F)"
"Arizona","Davila, Hunter","JR-3","Mt. SAC Relays","Apr 13-15, 2017","5000","14:33.47","48th (F)"
"Arizona","Davila, Hunter","JR-3","Jim Click Shootout","Apr 8, 2017","3000","8:36.85","1st (F)"
"Arizona","Davila, Hunter","JR-3","Stanford Invitational","Mar 31 - Apr 1, 2017","5000","14:52.60","14th (F)"
"Arizona","Davila, Hunter","JR-3","2017 Willie Williams Classic (College/Open)","Mar 17-18, 2017","1500","3:55.48","3rd (F)"
"Arizona","Davila, Hunter","JR-3","MPSF Indoor Track & Field Championships","Feb 24-25, 2017","5000","14:34.87","25th (F)"
"Arizona","Davila, Hunter","JR-3","2017 Husky Classic","Feb 10-11, 2017","5000","14:43.52","39th (F)"
