"selection1_name","selection1_selection2_name","selection1_selection2_year","selection1_selection2_selection3_name","selection1_selection2_selection3_Date","selection1_selection2_selection3_Event","selection1_selection2_selection3_Time","selection1_selection2_selection3_Place"
"Arizona","Baragar-Petrash, Jennie","JR-3","NCAA Division I West Region Cross Country Championships","Nov 09, 2018","6K","20:22.8","25th"
"Arizona","Baragar-Petrash, Jennie","JR-3","Pac-12 Cross Country Championships","Oct 26, 2018","6K","20:29.9","19th"
"Arizona","Baragar-Petrash, Jennie","JR-3","Wisconsin Pre Nationals","Oct 13, 2018","6K","20:54.0","31st"
"Arizona","Baragar-Petrash, Jennie","JR-3","Loyola Lakefront Collegiate Invitational","Sep 29, 2018","5K","17:02.4","8th"
"Arizona","Baragar-Petrash, Jennie","JR-3","2018 Dave Murray Invitational","Sep 14, 2018","4K","15:08.1","8th"
"Arizona","Baragar-Petrash, Jennie","JR-3","NCAA West Preliminary Round","05/24 - May 26, 2018","1500","4:31.82","41st (P)"
"Arizona","Baragar-Petrash, Jennie","JR-3","2018 Pac-12 Track & Field Championships","05/12 - May 13, 2018","1500","4:29.50","13th (P)"
"Arizona","Baragar-Petrash, Jennie","JR-3","2018 Desert Heat Classic","Apr 28, 2018","Mile","4:51.85","2nd (F)"
"Arizona","Baragar-Petrash, Jennie","JR-3","Mt. SAC Relays","04/19 - Apr 21, 2018","1500","4:24.61","2nd (F)"
"Arizona","Baragar-Petrash, Jennie","JR-3","2018 Jim Click Shootout","Apr 07, 2018","1500","4:28.49","4th (F)"
"Arizona","Baragar-Petrash, Jennie","JR-3","Stanford Invitational","03/30 - Mar 31, 2018","1500","4:25.48","3rd (F)"
"Arizona","Baragar-Petrash, Jennie","JR-3","2018 Willie Williams Classic - College/Open","03/16 - Mar 17, 2018","5000","DNF","3rd (F)"
"Arizona","Baragar-Petrash, Jennie","JR-3","MPSF Indoor Track & Field Championships","02/23 - Feb 24, 2018","Mile","4:50.46","17th (F)"
"Arizona","Baragar-Petrash, Jennie","JR-3","2018 Husky Classic","02/09 - Feb 10, 2018","Mile","4:47.93","32nd (F)"
